index,year,week,deaths,year.month,n_days,deaths.s,pop,pop.0to65,temp.max,temp.min,t.min,t.max,covid,covid.m,covid.w,covid.0to65,covid.65to80,covid.80plus,deaths.pc,share.m,counter
1996.37,1996,37,434,1996.09,0,434,13.433017,6.833690000000001,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,32.30845311965287,50.87233940074669,-13
1996.38,1996,38,502,1996.09,0,502,13.433017,6.833690000000001,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,37.3706070646676,50.87233940074669,-13
1996.39,1996,39,571,1996.09,0,571,13.433017,6.833690000000001,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,42.5072044500502,50.87233940074669,-13
1996.40,1996,40,505,1996.09,0,505,13.433017,6.833690000000001,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,37.59393738577119,50.87233940074669,-13
1996.41,1996,41,487,1996.10,0,487,13.433017,6.833690000000001,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,36.253955459149644,50.87233940074669,-13
1996.42,1996,42,496,1996.10,0,496,13.433017,6.833690000000001,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,36.92394642246042,50.87233940074669,-13
1996.43,1996,43,495,1996.10,0,495,13.433017,6.833690000000001,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,36.84950298209256,50.87233940074669,-13
1996.44,1996,44,525,1996.10,0,525,13.433017,6.833690000000001,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,39.08280619312847,50.87233940074669,-13
1996.45,1996,45,487,1996.11,0,487,13.433017,6.833690000000001,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,36.253955459149644,50.87233940074669,-13
1996.46,1996,46,542,1996.11,0,542,13.433017,6.833690000000001,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,40.34834467938215,50.87233940074669,-13
1996.47,1996,47,546,1996.11,0,546,13.433017,6.833690000000001,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,40.646118440853606,50.87233940074669,-13
1996.48,1996,48,518,1996.11,0,518,13.433017,6.833690000000001,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,38.561702110553426,50.87233940074669,-13
1996.49,1996,49,506,1996.12,0,506,13.433017,6.833690000000001,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,37.66838082613906,50.87233940074669,-13
1996.50,1996,50,531,1996.12,0,531,13.433017,6.833690000000001,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,39.529466835335654,50.87233940074669,-13
1996.51,1996,51,532,1996.12,0,532,13.433017,6.833690000000001,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,39.60391027570352,50.87233940074669,-13
1996.52,1996,52,676,1996.12,2,525.7777777777778,13.433017,6.833690000000001,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,50.3237656886759,50.87233940074669,-13
